OID_,Civil_Count,Food_Count,HealthCare_Count,town,town_id,coast,taz,ES_FLAG,OBJECTID,Civil_Count1,Food_Count1,HealthCare_Count1,town_1,town_id_1,coast_1,taz_1,BUFF_DIST,shape_Length_1,shape_Area_1,ES_FLAG1,Shape_Length,Shape_Area,ES_FLAG_ALL,OBJECTID_12,taz_12,HLTH_COUNT,town_12,ES_COUNT05,HLTH_COUNT05,HIED_COUNT05,shape_Length_12,shape_Area_12,ES_COUNT1,HLTH_COUNT1,HIED_COUNT1,shape_Length_12_13,shape_Area_12_13,HIED_COUNT,ES_DEN_TAZ,ES_DEN_1,ES_DEN_05,ES_COUNT,OBJECTID_1,Join_Count,TARGET_FID,town_12_13,town_id_12,coast_12,objectid_12_13,taz_12_13,ORIG_FID,BUFF_DIST_1,COLLEGE,CAMPUS,ADDRESS,CITY,ZIPCODE,PLUS_FOUR,GEOG_TOWN,MAIN_TEL,URL,NCES_ID,TYPE,NCES_TYPE,CATEGORY,DEGREEOFFR,AWARDSOFFR,LARGEPROG,CAMPUSSETT,CAMPUSHOUS,L_SRC,CE_OBJECTID,FID,CE_College,Undergraduate_Enrollment,Graduate_Enrollment,Total_Enrollment,One,Lat,Lng,HIED_ID,shape_Length_12_13_14,shape_Area_12_13_14,HIED_Count5,Shape_Length_12_13_14_15,Shape_Area_12_13_14_15,HLTH_COUNT05m,HIED_COUNT05m,ES_COUNT05m,HLTH_COUNT1m,HIED_COUNT1m,ES_COUNT1m,ES_DEN_05m,ES_DEN_1m
391,0,0,1,BOSTON,35,N,262,0,391,10,42,24,BOSTON,35,N,262,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,1835.651113554506765,122108.683107627381105,1,262,262,1,BOSTON,20,3,3,5055.913399325487262,2034180.041791053256020,75,12,12,10111.826798650974524,8136720.167164213024080,,42.421030910676556,23.873241463784300,25.464790894703256,2,391,48,391,BOSTON,35,N,35,262,391,8046.736093472188259,Boston College (Main Campus),Main Campus,140 Commonwealth Avenue,Chestnut Hill,02467, ,NEWTON,(617) 552-8000,http://www.bc.edu,164924,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Small,Yes,nces.ed.gov,10,GISDATA.COLLEGES_PT.117,Boston College (Main Campus),N/A,13696,13696,1,42.335021249951438,-71.168754835547645,4-Boston College (Main Campus),50559.133993256335089,203418004.179117113351822,48,1835.651113554506765,122108.683107627381105,3,3,20,12,12,75,25.464790894703299,23.873241463784300
392,0,0,0,BOSTON,35,N,263,0,392,9,43,25,BOSTON,35,N,263,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,1299.808548790388613,78835.171874528226908,1,263,263,,BOSTON,20,3,2,5055.913399325487262,2034180.041791053256020,76,11,13,10111.826798650974524,8136720.167164213024080,,32.853205602284696,24.191551349968091,25.464790894703256,1,392,47,392,BOSTON,35,N,35,263,392,8046.736093472188259,Boston College (Main Campus),Main Campus,140 Commonwealth Avenue,Chestnut Hill,02467, ,NEWTON,(617) 552-8000,http://www.bc.edu,164924,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Small,Yes,nces.ed.gov,10,GISDATA.COLLEGES_PT.117,Boston College (Main Campus),N/A,13696,13696,1,42.335021249951438,-71.168754835547645,4-Boston College (Main Campus),50559.133993256335089,203418004.179117113351822,47,1299.808548790388613,78835.171874528226908,3,2,20,11,13,76,25.464790894703299,24.191551349968101
393,0,0,0,BOSTON,35,N,264,0,393,12,58,29,BOSTON,35,N,264,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,1467.290608408009803,105799.701341994426912,1,264,264,,BOSTON,22,3,5,5055.913399325487262,2034180.041791053256020,97,12,14,10111.826798650974524,8136720.167164213024080,,24.480107953360626,30.876058959827695,28.011269984173580,1,393,45,393,BOSTON,35,N,35,264,393,8046.736093472188259,Boston College (Main Campus),Main Campus,140 Commonwealth Avenue,Chestnut Hill,02467, ,NEWTON,(617) 552-8000,http://www.bc.edu,164924,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Small,Yes,nces.ed.gov,10,GISDATA.COLLEGES_PT.117,Boston College (Main Campus),N/A,13696,13696,1,42.335021249951438,-71.168754835547645,4-Boston College (Main Campus),50559.133993256335089,203418004.179117113351822,45,1467.290608408009803,105799.701341994426912,3,5,22,12,14,97,28.011269984173602,30.876058959827699
394,0,2,0,BOSTON,35,N,265,0,394,12,65,29,BOSTON,35,N,265,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,1562.659713275310651,110064.122669498552568,1,265,265,,BOSTON,28,2,4,5055.913399325487262,2034180.041791053256020,104,10,13,10111.826798650974524,8136720.167164213024080,1,47.063258171103648,33.104228163114229,35.650707252584560,2,394,45,394,BOSTON,35,N,35,265,394,8046.736093472188259,Boston College (Main Campus),Main Campus,140 Commonwealth Avenue,Chestnut Hill,02467, ,NEWTON,(617) 552-8000,http://www.bc.edu,164924,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Small,Yes,nces.ed.gov,10,GISDATA.COLLEGES_PT.117,Boston College (Main Campus),N/A,13696,13696,1,42.335021249951438,-71.168754835547645,4-Boston College (Main Campus),50559.133993256335089,203418004.179117113351822,45,1562.659713275310651,110064.122669498552568,2,4,28,10,13,104,35.650707252584603,33.104228163114200
395,0,1,0,BOSTON,35,N,266,0,395,13,77,30,BOSTON,35,N,266,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,973.275869316219541,50504.272327534425131,1,266,266,,BOSTON,25,1,4,5055.913399325487262,2034180.041791053256020,118,10,13,10111.826798650974524,8136720.167164213024080,1,205.130218963538425,37.560566569687303,31.830988618379067,4,395,45,395,BOSTON,35,N,35,266,395,8046.736093472188259,Boston College (Main Campus),Main Campus,140 Commonwealth Avenue,Chestnut Hill,02467, ,NEWTON,(617) 552-8000,http://www.bc.edu,164924,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Small,Yes,nces.ed.gov,10,GISDATA.COLLEGES_PT.117,Boston College (Main Campus),N/A,13696,13696,1,42.335021249951438,-71.168754835547645,4-Boston College (Main Campus),50559.133993256335089,203418004.179117113351822,45,973.275869316219541,50504.272327534425131,1,4,25,10,13,118,31.830988618379099,37.560566569687303
396,1,0,1,BOSTON,35,N,267,0,396,14,72,29,BOSTON,35,N,267,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,901.006669398560007,26523.450860425309656,1,267,267,,BOSTON,26,1,4,5055.913399325487262,2034180.041791053256020,113,9,14,10111.826798650974524,8136720.167164213024080,,292.946961228535599,35.969017138768351,33.104228163114229,3,396,45,396,BOSTON,35,N,35,267,396,8046.736093472188259,Boston College (Main Campus),Main Campus,140 Commonwealth Avenue,Chestnut Hill,02467, ,NEWTON,(617) 552-8000,http://www.bc.edu,164924,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Small,Yes,nces.ed.gov,10,GISDATA.COLLEGES_PT.117,Boston College (Main Campus),N/A,13696,13696,1,42.335021249951438,-71.168754835547645,4-Boston College (Main Campus),50559.133993256335089,203418004.179117113351822,45,901.006669398560007,26523.450860425309656,1,4,26,9,14,113,33.104228163114200,35.969017138768400
397,1,4,2,BOSTON,35,N,268,1,397,9,45,27,BOSTON,35,N,268,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,1630.541806370330960,77872.042236893990776,1,268,268,1,BOSTON,19,3,3,5055.913399325487262,2034180.041791053256020,79,11,12,10111.826798650974524,8136720.167164213024080,,299.335837650912936,25.146481008519466,24.191551349968091,9,397,47,397,BOSTON,35,N,35,268,397,8046.736093472188259,Boston College (Main Campus),Main Campus,140 Commonwealth Avenue,Chestnut Hill,02467, ,NEWTON,(617) 552-8000,http://www.bc.edu,164924,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Small,Yes,nces.ed.gov,10,GISDATA.COLLEGES_PT.117,Boston College (Main Campus),N/A,13696,13696,1,42.335021249951438,-71.168754835547645,4-Boston College (Main Campus),50559.133993256335089,203418004.179117113351822,47,1630.541806370330960,77872.042236893990776,3,3,19,11,12,79,24.191551349968101,25.146481008519501
398,0,0,3,BOSTON,35,N,269,0,398,9,46,27,BOSTON,35,N,269,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,1551.642525298634837,69949.586775089454022,1,269,269,1,BOSTON,20,4,4,5055.913399325487262,2034180.041791053256020,80,11,12,10111.826798650974524,8136720.167164213024080,,296.211969756215922,25.464790894703256,25.464790894703256,8,398,47,398,BOSTON,35,N,35,269,398,8046.736093472188259,Boston College (Main Campus),Main Campus,140 Commonwealth Avenue,Chestnut Hill,02467, ,NEWTON,(617) 552-8000,http://www.bc.edu,164924,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Small,Yes,nces.ed.gov,10,GISDATA.COLLEGES_PT.117,Boston College (Main Campus),N/A,13696,13696,1,42.335021249951438,-71.168754835547645,4-Boston College (Main Campus),50559.133993256335089,203418004.179117113351822,47,1551.642525298634837,69949.586775089454022,4,4,20,11,12,80,25.464790894703299,25.464790894703299
399,0,0,0,BOSTON,35,N,270,0,399,9,48,28,BOSTON,35,N,270,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,1508.246667678554331,62632.924186618947715,1,270,270,,BOSTON,22,4,6,5055.913399325487262,2034180.041791053256020,83,11,13,10111.826798650974524,8136720.167164213024080,,0.000000000000000,26.419720553254628,28.011269984173580,0,399,47,399,BOSTON,35,N,35,270,399,8046.736093472188259,Boston College (Main Campus),Main Campus,140 Commonwealth Avenue,Chestnut Hill,02467, ,NEWTON,(617) 552-8000,http://www.bc.edu,164924,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Small,Yes,nces.ed.gov,10,GISDATA.COLLEGES_PT.117,Boston College (Main Campus),N/A,13696,13696,1,42.335021249951438,-71.168754835547645,4-Boston College (Main Campus),50559.133993256335089,203418004.179117113351822,47,1508.246667678554331,62632.924186618947715,4,6,22,11,13,83,28.011269984173602,26.419720553254599
400,0,0,0,BOSTON,35,N,271,0,400,11,53,29,BOSTON,35,N,271,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,1855.107576912095055,171830.121949094405863,1,271,271,,BOSTON,23,5,6,5055.913399325487262,2034180.041791053256020,91,12,13,10111.826798650974524,8136720.167164213024080,,0.000000000000000,28.966199642724952,29.284509528908742,0,400,47,400,BOSTON,35,N,35,271,400,8046.736093472188259,Boston College (Main Campus),Main Campus,140 Commonwealth Avenue,Chestnut Hill,02467, ,NEWTON,(617) 552-8000,http://www.bc.edu,164924,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Small,Yes,nces.ed.gov,10,GISDATA.COLLEGES_PT.117,Boston College (Main Campus),N/A,13696,13696,1,42.335021249951438,-71.168754835547645,4-Boston College (Main Campus),50559.133993256335089,203418004.179117113351822,47,1855.107576912095055,171830.121949094405863,5,6,23,12,13,91,29.284509528908700,28.966199642725002
401,0,2,0,BOSTON,35,N,314,0,401,17,124,25,BOSTON,35,N,314,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,1711.655547866193047,183517.194987078168197,1,314,314,,BOSTON,44,7,1,5055.913399325487262,2034180.041791053256020,166,11,7,10111.826798650974524,8136720.167164213024080,,42.339162449617248,52.839441106509256,56.022539968347161,3,401,44,401,BOSTON,35,N,35,314,401,8046.736093472188259,Boston College (Main Campus),Main Campus,140 Commonwealth Avenue,Chestnut Hill,02467, ,NEWTON,(617) 552-8000,http://www.bc.edu,164924,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Small,Yes,nces.ed.gov,10,GISDATA.COLLEGES_PT.117,Boston College (Main Campus),N/A,13696,13696,1,42.335021249951438,-71.168754835547645,4-Boston College (Main Campus),50559.133993256335089,203418004.179117113351822,44,1711.655547866193047,183517.194987078168197,7,1,44,11,7,166,56.022539968347203,52.839441106509298
402,0,0,0,CAMBRIDGE,49,N,659,0,402,6,49,11,CAMBRIDGE,49,N,659,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,1614.759008264947624,137958.071868853876367,1,659,659,,CAMBRIDGE,18,0,0,5055.913399325487262,2034180.041791053256020,66,5,3,10111.826798650974524,8136720.167164213024080,,0.000000000000000,21.008452488130185,22.918311805232928,0,402,49,402,CAMBRIDGE,49,N,49,659,402,8046.736093472188259,Boston College (Main Campus),Main Campus,140 Commonwealth Avenue,Chestnut Hill,02467, ,NEWTON,(617) 552-8000,http://www.bc.edu,164924,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Small,Yes,nces.ed.gov,10,GISDATA.COLLEGES_PT.117,Boston College (Main Campus),N/A,13696,13696,1,42.335021249951438,-71.168754835547645,4-Boston College (Main Campus),50559.133993256335089,203418004.179117113351822,49,1614.759008264947624,137958.071868853876367,0,0,18,5,3,66,22.918311805232900,21.008452488130199
403,1,5,0,BOSTON,35,N,384,1,403,9,52,17,BOSTON,35,N,384,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,2010.261328025591411,213572.078636245336384,1,384,384,,BOSTON,19,0,0,5055.913399325487262,2034180.041791053256020,77,6,0,10111.826798650974524,8136720.167164213024080,,109.142979463477744,24.509861236151881,24.191551349968091,9,403,30,403,BOSTON,35,N,35,384,403,8046.736093472188259,Curry College, ,1071 Blue Hill Avenue,Milton,02186, ,MILTON,(617) 333-2210,http://www.curry.edu,165529,PRI,"4-year, Private not-for-profit",Liberal Arts College,"B, M, PMC",Bachelor's degree;Master's degree;Post-master's certificate,Medical Program,Suburb: Large,Yes,nces.ed.gov,20,GISDATA.COLLEGES_PT.68,Curry College,N/A,207,207,1,42.240842220128876,-71.114732220499931,1-Curry College,50559.133993256335089,203418004.179117113351822,30,2010.261328025591411,213572.078636245336384,0,0,19,6,0,77,24.191551349968101,24.509861236151899
404,0,2,0,CAMBRIDGE,49,N,671,0,404,12,55,16,CAMBRIDGE,49,N,671,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,1231.618135140010963,88570.252763313692412,1,671,671,,CAMBRIDGE,24,1,1,5055.913399325487262,2034180.041791053256020,83,8,6,10111.826798650974524,8136720.167164213024080,,58.484378885234797,26.419720553254628,30.557749073643905,2,404,48,404,CAMBRIDGE,49,N,49,671,404,8046.736093472188259,Boston College (Main Campus),Main Campus,140 Commonwealth Avenue,Chestnut Hill,02467, ,NEWTON,(617) 552-8000,http://www.bc.edu,164924,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Small,Yes,nces.ed.gov,10,GISDATA.COLLEGES_PT.117,Boston College (Main Campus),N/A,13696,13696,1,42.335021249951438,-71.168754835547645,4-Boston College (Main Campus),50559.133993256335089,203418004.179117113351822,48,1231.618135140010963,88570.252763313692412,1,1,24,8,6,83,30.557749073643901,26.419720553254599
405,0,6,0,BOSTON,35,N,326,0,405,9,113,22,BOSTON,35,N,326,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,2374.645873412769561,300266.454212987388019,1,326,326,,BOSTON,20,0,0,5055.913399325487262,2034180.041791053256020,141,6,1,10111.826798650974524,8136720.167164213024080,,51.753795482891590,44.881693951914485,25.464790894703256,6,405,45,405,BOSTON,35,N,35,326,405,8046.736093472188259,Boston College (Main Campus),Main Campus,140 Commonwealth Avenue,Chestnut Hill,02467, ,NEWTON,(617) 552-8000,http://www.bc.edu,164924,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Small,Yes,nces.ed.gov,10,GISDATA.COLLEGES_PT.117,Boston College (Main Campus),N/A,13696,13696,1,42.335021249951438,-71.168754835547645,4-Boston College (Main Campus),50559.133993256335089,203418004.179117113351822,45,2374.645873412769561,300266.454212987388019,0,0,20,6,1,141,25.464790894703299,44.881693951914500
406,0,1,0,CAMBRIDGE,49,N,672,0,406,11,57,16,CAMBRIDGE,49,N,672,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,1752.646952253283871,113584.649432862803224,1,672,672,,CAMBRIDGE,29,1,1,5055.913399325487262,2034180.041791053256020,84,8,6,10111.826798650974524,8136720.167164213024080,1,45.604544684820333,26.738030439438418,36.923946797319722,2,406,49,406,CAMBRIDGE,49,N,49,672,406,8046.736093472188259,Boston College (Main Campus),Main Campus,140 Commonwealth Avenue,Chestnut Hill,02467, ,NEWTON,(617) 552-8000,http://www.bc.edu,164924,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Small,Yes,nces.ed.gov,10,GISDATA.COLLEGES_PT.117,Boston College (Main Campus),N/A,13696,13696,1,42.335021249951438,-71.168754835547645,4-Boston College (Main Campus),50559.133993256335089,203418004.179117113351822,49,1752.646952253283871,113584.649432862803224,1,1,29,8,6,84,36.923946797319701,26.738030439438401
407,0,1,0,BOSTON,35,N,327,0,407,12,110,26,BOSTON,35,N,327,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,1968.662677479249624,189942.575030956795672,1,327,327,,BOSTON,24,1,0,5055.913399325487262,2034180.041791053256020,143,7,1,10111.826798650974524,8136720.167164213024080,,27.271275119474485,45.518313724282066,30.557749073643905,2,407,45,407,BOSTON,35,N,35,327,407,8046.736093472188259,Boston College (Main Campus),Main Campus,140 Commonwealth Avenue,Chestnut Hill,02467, ,NEWTON,(617) 552-8000,http://www.bc.edu,164924,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Small,Yes,nces.ed.gov,10,GISDATA.COLLEGES_PT.117,Boston College (Main Campus),N/A,13696,13696,1,42.335021249951438,-71.168754835547645,4-Boston College (Main Campus),50559.133993256335089,203418004.179117113351822,45,1968.662677479249624,189942.575030956795672,1,0,24,7,1,143,30.557749073643901,45.518313724282102
408,0,2,0,BOSTON,35,N,328,0,408,13,115,29,BOSTON,35,N,328,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,2729.103860389064721,306112.294546079472639,1,328,328,,BOSTON,34,1,0,5055.913399325487262,2034180.041791053256020,152,10,1,10111.826798650974524,8136720.167164213024080,,84.609084849921189,48.383102699936181,43.290144520995533,10,408,46,408,BOSTON,35,N,35,328,408,8046.736093472188259,Boston College (Main Campus),Main Campus,140 Commonwealth Avenue,Chestnut Hill,02467, ,NEWTON,(617) 552-8000,http://www.bc.edu,164924,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Small,Yes,nces.ed.gov,10,GISDATA.COLLEGES_PT.117,Boston College (Main Campus),N/A,13696,13696,1,42.335021249951438,-71.168754835547645,4-Boston College (Main Campus),50559.133993256335089,203418004.179117113351822,46,2729.103860389064721,306112.294546079472639,1,0,34,10,1,152,43.290144520995497,48.383102699936202
409,0,8,0,BOSTON,35,N,329,0,409,11,112,26,BOSTON,35,N,329,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,2591.902338497198798,315473.842354069463909,1,329,329,,BOSTON,35,1,0,5055.913399325487262,2034180.041791053256020,145,9,0,10111.826798650974524,8136720.167164213024080,,123.147521088855214,46.154933496649647,44.563384065730695,15,409,46,409,BOSTON,35,N,35,329,409,8046.736093472188259,Boston College (Main Campus),Main Campus,140 Commonwealth Avenue,Chestnut Hill,02467, ,NEWTON,(617) 552-8000,http://www.bc.edu,164924,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Small,Yes,nces.ed.gov,10,GISDATA.COLLEGES_PT.117,Boston College (Main Campus),N/A,13696,13696,1,42.335021249951438,-71.168754835547645,4-Boston College (Main Campus),50559.133993256335089,203418004.179117113351822,46,2591.902338497198798,315473.842354069463909,1,0,35,9,0,145,44.563384065730702,46.154933496649598
410,0,0,0,CAMBRIDGE,49,N,673,0,410,11,57,17,CAMBRIDGE,49,N,673,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,1397.449364969121689,52956.127320924104424,1,673,673,,CAMBRIDGE,27,2,1,5055.913399325487262,2034180.041791053256020,85,8,8,10111.826798650974524,8136720.167164213024080,1,48.908185724940033,27.056340325622209,34.377467707849391,1,410,47,410,CAMBRIDGE,49,N,49,673,410,8046.736093472188259,Boston College (Main Campus),Main Campus,140 Commonwealth Avenue,Chestnut Hill,02467, ,NEWTON,(617) 552-8000,http://www.bc.edu,164924,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Small,Yes,nces.ed.gov,10,GISDATA.COLLEGES_PT.117,Boston College (Main Campus),N/A,13696,13696,1,42.335021249951438,-71.168754835547645,4-Boston College (Main Campus),50559.133993256335089,203418004.179117113351822,47,1397.449364969121689,52956.127320924104424,2,1,27,8,8,85,34.377467707849398,27.056340325622202
411,0,5,3,BOSTON,35,N,330,1,411,8,107,20,BOSTON,35,N,330,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,2876.786221829093392,394758.115196280356031,1,330,330,1,BOSTON,44,3,0,5055.913399325487262,2034180.041791053256020,131,6,0,10111.826798650974524,8136720.167164213024080,,59.048546680231993,41.698595090076580,56.022539968347161,9,411,43,411,BOSTON,35,N,35,330,411,8046.736093472188259,Harvard University (School of Public Health),School of Public Health,677 Huntington Ave,Boston,02115, ,BOSTON,(617) 432-1031,http://www.hsph.harvard.edu/,166027,PRI,"4-year, Private not-for-profit",Research University,"A, B, PBC, M, PMC, D",Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Midsize,Yes,IN-WEBSITE,36,GISDATA.COLLEGES_PT.118,Harvard University (School of Public Health),N/A,2169,2169,1,42.335311323962586,-71.102951174040868,5-Harvard University (School of Public Health),50559.133993256335089,203418004.179117113351822,43,2876.786221829093392,394758.115196280356031,3,0,44,6,0,131,56.022539968347203,41.698595090076601
412,1,2,2,BOSTON,35,N,331,1,412,7,107,23,BOSTON,35,N,331,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,2017.506421996374229,173311.007294014445506,1,331,331,2,BOSTON,35,3,0,5055.913399325487262,2034180.041791053256020,133,7,1,10111.826798650974524,8136720.167164213024080,,194.274131570823613,42.335214862444161,44.563384065730695,13,412,39,412,BOSTON,35,N,35,331,412,8046.736093472188259,Harvard University (School of Public Health),School of Public Health,677 Huntington Ave,Boston,02115, ,BOSTON,(617) 432-1031,http://www.hsph.harvard.edu/,166027,PRI,"4-year, Private not-for-profit",Research University,"A, B, PBC, M, PMC, D",Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Midsize,Yes,IN-WEBSITE,36,GISDATA.COLLEGES_PT.118,Harvard University (School of Public Health),N/A,2169,2169,1,42.335311323962586,-71.102951174040868,5-Harvard University (School of Public Health),50559.133993256335089,203418004.179117113351822,39,2017.506421996374229,173311.007294014445506,3,0,35,7,1,133,44.563384065730702,42.335214862444197
413,0,2,0,BOSTON,35,N,332,0,413,11,103,19,BOSTON,35,N,332,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,2582.591326075107645,361099.051284747896716,1,332,332,,BOSTON,22,2,1,5055.913399325487262,2034180.041791053256020,131,5,6,10111.826798650974524,8136720.167164213024080,,28.690057213614416,41.698595090076580,28.011269984173580,4,413,46,413,BOSTON,35,N,35,332,413,8046.736093472188259,Boston College (Main Campus),Main Campus,140 Commonwealth Avenue,Chestnut Hill,02467, ,NEWTON,(617) 552-8000,http://www.bc.edu,164924,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Small,Yes,nces.ed.gov,10,GISDATA.COLLEGES_PT.117,Boston College (Main Campus),N/A,13696,13696,1,42.335021249951438,-71.168754835547645,4-Boston College (Main Campus),50559.133993256335089,203418004.179117113351822,46,2582.591326075107645,361099.051284747896716,2,1,22,5,6,131,28.011269984173602,41.698595090076601
